Year|Month|Day|Product Format|Total Net Sales|PO-Total
2020|January|1|42532986|7155.61|0
2020|January|2|42533011|52908.54|0
2020|January|3|42533023|1493.78|0
2020|January|4|42537711|2384.28|0
2020|January|5|42537712|7161.07|0
2020|January|6|42550429|4365.72|0
2020|January|7|42553656|2101.22|0
2020|January|8|42554958|2654534.96|0
2020|January|9|42559687|411.73|0
2020|January|10|42559697|671.69|0
2020|January|11|42566753|348890.35|0
2020|January|12|42582864|9378.79|0
2020|January|13|42582865|4961.97|0
2020|January|14|42588254|90300.19|0
2020|January|15|42589021|4851.67|0
2020|January|16|42598150|2089.96|0
2020|January|17|42598682|1325.57|0
2020|January|18|42599080|25976.54|0
2020|January|19|42599227|936162.4|0
2020|January|20|42630449|151770.82|0
2020|January|21|42673417|6376.07|0
2020|January|22|42676498|3854.96|0
2020|January|23|42703390|17899.36|0
2020|January|24|52092635|203.27|0
2020|January|25|52141719|4683|0
2020|January|26|55354565|6466.64|0
2020|January|27|55505687|1808.67|0
2020|January|28|55568390|1141.65|0
2020|January|29|55573487|82.24|0
2020|January|30|55573805|91.85|0
2020|January|31|55574240|356.14|0
2020|January|1|55597759|1767.17|0
2020|January|2|84114506|2253.06|0
2020|January|3|84189628|21378.42|0
2020|January|4|84277350|2240798.74|0
2020|January|5|84278262|380804.73|0
2020|January|6|84278263|380804.73|0
2020|January|7|84437034|17252.12|0
2020|January|8|84546910|86802.18|0
2020|January|9|89019144|4600.6|0
2020|January|10|90213642|199.4|0
2020|January|11|90386222|163.35|0
2020|January|12|90431475|5.63|0
2020|January|13|90537299|421.92|0
2020|January|14|93184598|494.18|0
2020|January|15|93255066|658.9|0
2020|January|16|93294583|600.77|0
2020|January|17|93347558|1355.99|0
2020|January|18|93399245|87.14|0
2020|January|19|93753230|1055.58|0
2020|January|20|94509632|18215.35|0
2020|January|21|94522003|6669.42|0
2020|January|22|94522432|308.96|0
2020|January|23|94531935|29887.15|0
2020|January|24|94538119|2732.89|0
2020|January|25|94538394|4140.26|0
2020|January|26|94541481|3492.61|0
2020|January|27|94542299|285.39|0
2020|January|28|94551787|4397.29|0
2020|January|29|94559626|14913.85|0
2020|January|30|94560841|13594.27|0
2020|January|31|94560893|1230.75|0
2020|January|1|94560931|16136.83|0
2020|January|2|94709345|862.01|0
2020|January|3|94734766|312.62|0
2020|January|4|94772339|206.53|0
2020|January|5|94777789|1828.76|0
2020|January|6|95015922|2013.79|0
2020|January|7|95019920|5948.19|0
2020|January|8|95040945|2998.5|0
2020|January|9|95060302|197.49|0
2020|January|10|95072281|3625.99|0
2020|January|11|95080150|1004.88|0
2020|January|12|95081732|1603.23|0
2020|January|13|95087822|5499.25|0
2020|January|14|95087831|21515.85|0
2020|January|15|95090291|457490.43|0
2020|January|16|95090292|470986.08|0
2020|January|17|95092182|7600.6|0
2020|January|18|95095473|8820.71|0
2020|January|19|95095592|1864.12|0
2020|January|20|95102241|6105.9|0
2020|January|21|95127980|814.38|0
2020|January|22|95128807|1451.18|0
2020|January|23|95129386|244396.83|0
2020|January|24|95129387|244396.83|0
2020|January|25|95134678|565.2|0
2020|January|26|95136193|166.35|0
2020|January|27|95137809|189428.95|0
2020|January|28|95138303|697.35|0
2020|January|29|95142656|6121.66|0
2020|January|30|95147410|19013.48|0
